text,sentiment
I love this product,positive
This is amazing,positive
Very happy with the service,positive
Absolutely fantastic experience,positive
The quality is excellent,positive
I enjoyed using this app,positive
This made my day better,positive
Customer support was very helpful,positive
The design looks beautiful,positive
I am extremely satisfied,positive
Best purchase I have made,positive
Everything works perfectly,positive
The movie was wonderful,positive
I really liked the experience,positive
This laptop is super fast,positive
Food was delicious and fresh,positive
I would highly recommend this,positive
Very impressed with the performance,positive
The delivery was quick and smooth,positive
I feel happy after buying this,positive
The interface is user friendly,positive
Amazing work by the developers,positive
This is one of the best apps,positive
I appreciate the excellent service,positive
The product exceeded my expectations,positive
I am content,positive
I feel peaceful and content,positive
I feel relaxed and satisfied,positive
This experience was pleasant,positive
I am grateful for the support,positive
The event was enjoyable,positive
I feel optimistic today,positive
The music sounds wonderful,positive
This phone works flawlessly,positive
I am delighted with the results,positive
The package arrived safely,positive
The instructions were easy to follow,positive
I had a great time using this,positive
This software is reliable,positive
The staff behaved professionally,positive
I feel confident and motivated,positive
The environment feels welcoming,positive
This game is very entertaining,positive
I am excited about this update,positive
The camera quality is impressive,positive
I feel cheerful and energetic,positive
This service saved me time,positive
I had a positive experience overall,positive
The product is durable and useful,positive
I feel comfortable using this,positive
I am happy,positive
This place feels amazing,positive
The performance is outstanding,positive
I feel inspired by this project,positive
The team did an incredible job,positive
Today was a beautiful day,positive
I passed my exam successfully,positive
My friends surprised me today,positive
I feel proud of myself,positive
The weather is pleasant this morning,positive
I enjoyed spending time with my family,positive
I finally achieved my goal,positive
The vacation was relaxing,positive
I learned something new today,positive
My presentation went really well,positive
I received good news today,positive
I feel hopeful about the future,positive
The concert was unforgettable,positive
I laughed a lot today,positive
The teacher explained everything clearly,positive
I feel calm and relaxed,positive
The trip was exciting and fun,positive
I made a new friend today,positive
The book was inspiring,positive
I successfully completed my project,positive
I hate this item,negative
Worst experience ever,negative
Very bad service,negative
I am disappointed,negative
The quality is terrible,negative
This app crashes frequently,negative
I regret buying this,negative
Completely useless product,negative
The support team was rude,negative
I am not satisfied at all,negative
Waste of money,negative
The delivery was very late,negative
This is frustrating to use,negative
I had a horrible experience,negative
The product stopped working quickly,negative
Very poor performance,negative
The food tasted awful,negative
I will never use this again,negative
The interface is confusing,negative
This was a big mistake,negative
The movie was boring,negative
I expected much better quality,negative
Terrible customer support,negative
This device overheats often,negative
Absolutely disappointing experience,negative
I am dissatisfied,negative
I feel upset about the results,negative
This makes me angry,negative
I am feeling sad today,negative
The software is unreliable,negative
I feel uncomfortable using this,negative
The package arrived damaged,negative
This service wasted my time,negative
The instructions were confusing,negative
I had a negative experience overall,negative
The app is full of bugs,negative
The battery drains too quickly,negative
I feel frustrated and annoyed,negative
The environment feels toxic,negative
This update ruined the experience,negative
I feel tired of these issues,negative
The staff was unprofessional,negative
The response time is terrible,negative
This game is boring and repetitive,negative
The product feels cheap,negative
I am losing trust in this brand,negative
The website loads very slowly,negative
I feel disappointed and unhappy,negative
Nothing works properly here,negative
This is one of the worst services,negative
Today was exhausting and stressful,negative
I failed my exam,negative
The weather ruined my plans,negative
I feel lonely and ignored,negative
The meeting was a complete waste of time,negative
I argued with my friend today,negative
The trip was tiring and uncomfortable,negative
I feel nervous about tomorrow,negative
The teacher was very rude today,negative
I received terrible news this morning,negative
I feel emotionally drained,negative
The concert was disappointing,negative
Nobody listened to my opinion,negative
I made a huge mistake today,negative
The book was boring and dull,negative
I could not complete my work on time,negative
I feel anxious and stressed,negative
Everything went wrong today,negative
The situation became worse,negative
I am unhappy with the outcome,negative
I am discontent,negative
I feel discontent,negative
I am very discontent,negative
I feel unhappy and discontent,negative
I am miserable,negative
I feel hopeless,negative
I am emotionally exhausted,negative
I feel mentally drained,negative
I feel depressed today,negative
I feel lonely and broken,negative
I feel joyful,positive
I feel cheerful today,positive
I feel emotionally satisfied,positive
I am full of hope,positive
I feel peaceful and calm,positive
I feel motivated and energetic,positive
I feel dishonoured,negative
I feel insulted,negative
I feel humiliated,negative
I feel betrayed,negative
I feel ashamed,negative
I feel disrespected,negative
I feel hurt emotionally,negative
I feel worthless,negative
I feel devastated,negative
I feel broken inside,negative
That movie was funny,positive
You are very funny,positive
The joke was hilarious and funny,positive
I had a funny and enjoyable time,positive
This comedian is really funny,positive
The video was funny and entertaining,positive